,"index of flare start in ""gj1243_master_slc.dat""","index of flare stop in ""gj1243_master_slc.dat""",t_start,t_stop,t_peak,t_rise,t_decay,flux peak,ED,Duration of rise,Duration of decay,Complex flag,# of people that identified flare event exists,# of people that analyzed this month,# of flare template components fit to event,Flare_Duration,Index,Flare_Number,Type,Notes,na,key
41,20755.0,20809.0,554.302063,554.3388672,554.3068237,0.0047607,0.0320435,0.0229987,17.5680084,1.935626,15.6323824,1.0,8.0,8.0,3.0,52.998048000008566,73,73.0,1.0,,,
42,20976.0,21002.0,554.4539795,554.4716797,554.456665,0.0026855,0.0150146,0.0086922,2.5751538,0.6564316,1.9187223,1.0,8.0,8.0,1.0,25.488288000051398,74,74.0,1.0,,,
43,21435.0,21466.0,554.7686157,554.7904663,554.7706909,0.0020752,0.0197754,0.0174097,5.696116,0.5723684,5.1237478,1.0,8.0,8.0,1.0,31.464863999990484,75,75.0,1.0,,,
44,21924.0,21950.0,555.1044312,555.1228027,555.1071777,0.0027466,0.015625,0.0516928,7.9421825,3.178865,4.7633176,1.0,8.0,8.0,1.0,26.454959999919083,77,77.0,1.0,,,
45,22180.0,22214.0,555.2822266,555.3053589,555.2869873,0.0047607,0.0183716,0.0098109,4.0148582,1.0399195,2.9749386,1.0,8.0,8.0,1.0,33.31051200006186,79,79.0,1.0,,,
46,22324.0,22351.0,555.3809814,555.399353,555.3843994,0.003418,0.0149536,0.0051536,1.2519102,0.0321752,1.219735,1.0,8.0,8.0,1.0,26.455104000033316,80,80.0,2.0,,,
47,23943.0,23964.0,556.5797729,556.5947876,556.5811768,0.0014038,0.0136108,0.0165027,3.4576404,0.5991173,2.8585231,1.0,8.0,8.0,1.0,21.62116800007425,83,83.0,1.0,,,
48,23970.0,24010.0,556.598877,556.62677,556.6097412,0.0108643,0.0170288,0.0207829,7.914536,2.4403322,5.4742036,1.0,8.0,8.0,2.0,40.1659199999267,84,84.0,2.0,adjust start_stop times,,
49,24592.0,24614.0,557.0252686,557.0402222,557.0279541,0.0026855,0.0122681,0.0098401,3.4237893,0.6399645,2.7838247,1.0,8.0,8.0,1.0,21.533184000018082,85,85.0,1.0,,,
50,24709.0,24750.0,557.1056519,557.1348877,557.1083374,0.0026855,0.0265503,0.0170403,9.9840088,1.0008482,8.983161,1.0,8.0,8.0,2.0,42.099552000054246,86,86.0,1.0,,,
51,25058.0,25084.0,557.3447266,557.3624268,557.3467407,0.0020142,0.015686,0.0071101,3.1815903,0.1515173,3.0300729,1.0,8.0,8.0,2.0,25.488288000051398,87,87.0,1.0,,,
52,25745.0,25793.0,557.8173828,557.8514404,557.8214722,0.0040894,0.0299683,0.0269112,16.2598038,2.5075982,13.7522058,1.0,8.0,8.0,2.0,49.04294399997525,88,88.0,1.0,,,
53,25889.0,25911.0,557.9168701,557.9324951,557.9188843,0.0020142,0.0136108,0.0058469,2.165581,0.1789093,1.9866718,1.0,8.0,8.0,1.0,22.5,89,89.0,1.0,,,
54,26259.0,26287.0,558.1723022,558.1913452,558.173645,0.0013428,0.0177002,0.0116922,5.0811439,0.3254239,4.7557197,1.0,8.0,8.0,2.0,27.421920000015234,91,91.0,1.0,,,
55,26330.0,26371.0,558.2206421,558.249939,558.2233887,0.0027466,0.0265503,0.0265279,8.1723289,2.8543086,5.3180199,1.0,8.0,8.0,2.0,42.18753600011041,92,92.0,1.0,,,
56,27570.0,27598.0,559.0843506,559.1040649,559.0897827,0.0054321,0.0142822,0.0063253,3.8018124,1.0767394,2.7250729,1.0,8.0,8.0,1.0,28.38859200004663,93,93.0,1.0,,,
57,27928.0,27957.0,559.3302002,559.350647,559.3342896,0.0040894,0.0163574,0.0119882,3.862226,0.7376971,3.1245289,1.0,8.0,8.0,2.0,29.443391999921005,94,94.0,1.0,,,
58,28139.0,28172.0,559.4766846,559.4991455,559.4786987,0.0020142,0.0204468,0.0138714,5.1829433,0.4169717,4.7659717,1.0,8.0,8.0,1.0,32.343696000079944,95,95.0,1.0,,,
59,30301.0,30322.0,560.9574585,560.9724121,560.960144,0.0026855,0.0122681,0.0052996,1.9727421,0.5762673,1.3964748,1.0,8.0,8.0,1.0,21.533184000018082,99,99.0,1.0,,,
60,30505.0,30526.0,561.0991211,561.1134033,561.1025391,0.003418,0.0108643,0.0105369,2.3235312,0.5034071,1.8201241,1.0,8.0,8.0,1.0,20.566367999872455,102,102.0,1.0,,,
61,30560.0,30581.0,561.1365967,561.1508789,561.140686,0.0040894,0.0101929,0.0037908,1.582538,0.4921558,1.0903822,1.0,8.0,8.0,1.0,20.566367999872455,103,103.0,1.0,,,
62,30864.0,30905.0,561.3450317,561.3743286,561.3470459,0.0020142,0.0272827,0.0326909,13.1901045,2.6251118,10.5649929,1.0,8.0,8.0,1.0,42.187535999946704,105,105.0,1.0,,,
63,32060.0,32081.0,562.1739502,562.1882324,562.1766968,0.0027466,0.0115356,0.003561,0.8166102,0.3981765,0.4184336,1.0,8.0,8.0,1.0,20.566367999872455,108,108.0,2.0,,,
64,33234.0,33259.0,562.987915,563.0049438,562.9892578,0.0013428,0.015686,0.0085742,3.4199224,0.2660686,3.1538537,1.0,8.0,8.0,2.0,24.52147199990577,114,114.0,1.0,,,
65,33782.0,33819.0,563.364563,563.3897705,563.367981,0.003418,0.0217896,0.0166198,6.0838747,0.8615756,5.2222991,1.0,8.0,8.0,1.0,36.29880000011326,115,115.0,1.0,,,
66,34284.0,34307.0,563.7105713,563.7262573,563.7133179,0.0027466,0.0129395,0.009548,1.9289573,0.1186879,1.8102695,1.0,8.0,8.0,1.0,22.587840000105643,116,116.0,1.0,,,
67,34719.0,34749.0,564.0075684,564.0280151,564.0096436,0.0020752,0.0183716,0.0210789,6.4898605,1.4140075,5.0758533,1.0,8.0,8.0,1.0,29.44324799997048,117,117.0,1.0,,,
68,35178.0,35201.0,564.3215942,564.3372192,564.3242798,0.0026855,0.0129395,0.0056923,3.0360093,0.3796654,2.6563439,1.0,8.0,8.0,1.0,22.5,118,118.0,1.0,,,
69,35417.0,35446.0,564.4863892,564.5061646,564.4911499,0.0047607,0.0150146,0.0090515,4.1505103,0.5008178,3.6496923,1.0,8.0,8.0,1.0,28.476576000102796,119,119.0,1.0,,,
70,37492.0,37520.0,565.9494629,565.9692383,565.9528809,0.003418,0.0163574,0.0240485,6.4506745,1.2105247,5.24015,1.0,8.0,8.0,1.0,28.476576000102796,124,124.0,1.0,,,
71,39048.0,39071.0,567.8675537,567.8832397,567.8709717,0.003418,0.0122681,0.0048311,2.4905934,0.6525428,1.8380506,1.0,7.0,7.0,1.0,22.587839999941934,128,128.0,1.0,,,
72,39603.0,39625.0,568.2496948,568.2646484,568.2523804,0.0026855,0.0122681,0.0055801,1.6983044,0.4057123,1.292592,1.0,7.0,7.0,1.0,21.533184000018082,130,130.0,1.0,,,
73,40078.0,40107.0,568.5772705,568.5970459,568.5800171,0.0027466,0.0170288,0.0114001,3.2297978,0.8904479,2.33935,1.0,7.0,7.0,1.0,28.476575999939087,132,132.0,1.0,,,
74,40212.0,40242.0,568.6685791,568.6896973,568.6712646,0.0026855,0.0184326,0.0191916,4.080565,1.0690329,3.0115321,1.0,7.0,7.0,1.0,30.410208000066632,133,133.0,1.0,,,
75,40877.0,40912.0,569.1276245,569.1521606,569.1358032,0.0081787,0.0163574,0.0242717,7.4210606,1.5616287,5.8594317,1.0,7.0,7.0,1.0,35.33198399996763,134,134.0,1.0,,,
76,42001.0,42023.0,569.9096069,569.9252319,569.9130249,0.003418,0.012207,0.0049275,1.5087293,0.0509245,1.4578049,1.0,7.0,7.0,1.0,22.5,136,136.0,1.0,,,
77,43359.0,43433.0,570.8475342,570.8986206,570.8495483,0.0020142,0.0490723,0.0367275,23.9918289,2.0825868,21.9092426,1.0,7.0,7.0,2.0,73.56441599988102,144,144.0,1.0,,,
78,43941.0,43973.0,571.2507324,571.272522,571.2548218,0.0040894,0.0177002,0.005777,2.930618,0.2573033,2.6733148,1.0,7.0,7.0,1.0,31.37702400004855,145,145.0,1.0,,,
79,44014.0,44040.0,571.3011475,571.3188477,571.3031616,0.0020142,0.015686,0.0173611,4.0253439,0.5577266,3.4676173,1.0,7.0,7.0,1.0,25.488288000051398,146,146.0,1.0,,,
80,44592.0,44614.0,571.7009888,571.7159424,571.7070923,0.0061035,0.0088501,0.0143828,2.2811062,1.051047,1.2300593,1.0,7.0,7.0,1.0,21.533184000018082,147,147.0,1.0,,,
81,44766.0,44820.0,571.8201904,571.8583374,571.8242798,0.0040894,0.0340576,0.0371022,19.5421982,5.4889436,14.0532532,1.0,7.0,7.0,3.0,54.9316799999724,148,148.0,1.0,,,
82,45436.0,45461.0,572.2806396,572.2983398,572.2854004,0.0047607,0.0129395,0.0035512,1.4442548,0.4410374,1.0032173,1.0,7.0,7.0,1.0,25.488288000051398,150,150.0,1.0,,,
83,46373.0,46394.0,572.9351807,572.9501343,572.9371948,0.0020142,0.0129395,0.008709,2.0564003,0.2147,1.8417003,1.0,7.0,7.0,1.0,21.533183999854373,152,152.0,1.0,,,
84,46401.0,46421.0,572.9549561,572.9699097,572.9569702,0.0020142,0.0129395,0.0274465,5.1972065,1.6329881,3.5642183,1.0,7.0,7.0,1.0,21.533184000018082,153,153.0,1.0,,,
85,48493.0,48514.0,574.3982544,574.4125366,574.401001,0.0027466,0.0115356,0.0089695,2.169497,0.7582018,1.4112953,1.0,7.0,7.0,1.0,20.566367999872455,157,157.0,1.0,,,
86,48904.0,48960.0,574.6809082,574.7197266,574.6870728,0.0061646,0.0326538,0.0152052,10.2716475,1.477384,8.7942638,1.0,7.0,7.0,2.0,55.89849599995432,158,158.0,1.0,,,
87,50224.0,50281.0,575.5949707,575.6345215,575.6004639,0.0054932,0.0340576,0.0351823,12.3201132,3.5758889,8.7442245,1.0,7.0,7.0,2.0,56.95315200004188,161,161.0,1.0,,,
88,50400.0,50423.0,575.7155762,575.7318726,575.7189331,0.0033569,0.0129395,0.0052481,2.301357,0.8009013,1.5004556,1.0,7.0,7.0,1.0,23.466815999981918,162,162.0,1.0,,,
