,Event_ID,Start_INDX,Stop_INDX,t_peak,t_start,t_stop,t_rise,t_decay,Flux_peak,Equiv_Dur,S/N,CPLX_flg,MLTPK_flg,MLTPK_num,t_MLTPK,L_mltpk,MLTPK_INDX,quies,x,Flare_Duration,Index,Flare_Number,Type,Notes
10,40,13729.0,13742.0,1703.5313570092403,1703.5285792261284,1703.5466348154305,0.0027777831119238,0.0152778061901699,0.0248366281649616,12.870019899929911,3.31136231044978,1.0,0.0,0.0,0.0,0.0,0.0,11336.94141,;,26.00004859501496,14,14,1,
11,54,11858.0,11874.0,1700.9174623630652,1700.9077401158843,1700.9299623949903,0.0097222471811165,0.0125000319251285,0.0122333163043698,4.609733942335508,1.7787309957184492,1.0,0.0,0.0,0.0,0.0,0.0,11326.04297,;,32.00008191266534,17,17,1,
12,59,11087.0,11111.0,1699.8438483417212,1699.83690387742,1699.8702373062079,0.0069444643013412,0.026388964486614,0.1569734307884492,58.053389946983486,7.36145443450066,1.0,0.0,0.0,0.0,0.0,0.0,11328.36523,;,48.00013745465549,20,20,1,
13,60,12312.0,12361.0,1701.552186152217,1701.5396861223883,1701.6077418396217,0.0125000298287432,0.0555556874046488,0.0188076038734659,30.34390150415712,4.870547368805892,1.0,0.0,0.0,0.0,0.0,0.0,11334.3291,;,98.00023281608446,21,21,1,
14,62,17847.0,17862.0,1709.2758110325908,1709.2702554624075,1709.2910888506556,0.0055555701833327,0.0152778180649875,0.0214033851501682,7.488533357943947,2.3841786879435847,1.0,0.0,0.0,0.0,0.0,0.0,11321.48828,;,30.00007907725376,23,23,1,
15,5,1727.0,1760.0,1713.7785760373251,1713.7744093992465,1713.8202424174024,0.0041666380789138,0.0416663800770039,0.0502240528768073,39.737099957994005,5.943108515666936,1.0,0.0,0.0,0.0,0.0,0.0,10989.7041,;,65.99954614452145,26,26,1,
16,7,2794.0,2857.0,1715.271621051702,1715.2688432939926,1715.3563426591643,0.002777757709282,0.0847216074623702,0.0932697724005822,74.0589233487043,7.989053297875085,1.0,0.0,0.0,0.0,0.0,0.0,10901.51758,;,125.99908584717923,27,27,1,
17,11,4373.0,4389.0,1717.482715564495,1717.478548930142,1717.5007709799445,0.0041666343529414,0.018055415449453,0.0208397788078434,14.95588827047092,3.5600179893527946,1.0,0.0,0.0,0.0,0.0,0.0,10941.25977,;,31.99975171544793,28,28,1,
18,13,6097.0,6108.0,1719.8743632583387,1719.8729743805322,1719.888252035477,0.0013888778064484,0.0138887771383907,0.0555176917803598,16.50408020393475,3.8958579425688833,1.0,0.0,0.0,0.0,0.0,0.0,10918.1748,;,21.99982312056818,29,29,1,
19,35,12317.0,12328.0,1729.7173024269412,1729.7145246957732,1729.7298022173084,0.0027777311679529,0.0124997903672011,0.0245287134752902,9.451988590925692,2.85223904643346,1.0,0.0,0.0,0.0,0.0,0.0,10998.63672,;,21.99963101062167,30,30,1,
20,37,13343.0,13359.0,1731.1436672080836,1731.1395006123814,1731.1617224561298,0.0041665957021451,0.0180552480462666,0.0182851940745699,11.040301117659588,2.93393978592226,1.0,0.0,0.0,0.0,0.0,0.0,10907.08301,;,31.999454997712746,32,32,1,
21,44,16120.0,16133.0,1735.0158230423424,1735.0130453116417,1735.03110056155,0.0027777307007,0.0152775192075296,0.0137651578897849,8.266542499707116,2.575035592751312,1.0,0.0,0.0,0.0,0.0,0.0,10966.49805,;,25.99955986785062,33,33,1,
22,48,576.0,589.0,1712.1785866166763,1712.1744199760376,1712.1924754187287,0.0041666406386867,0.0138888020526338,0.0124413065656259,4.983316447584088,1.9485403223067184,1.0,0.0,0.0,0.0,0.0,0.0,10902.47168,;,25.99983747517399,34,34,1,
23,53,3638.0,3653.0,1716.464667790381,1716.4563345198155,1716.4771676962323,0.0083332705655721,0.0124999058512003,0.0110676627235257,4.0475245763603205,1.5725852874758757,1.0,0.0,0.0,0.0,0.0,0.0,10886.24609,;,29.99977404015226,35,35,1,
24,73,13682.0,13707.0,1731.6172702369,1731.6103259111956,1731.645047539491,0.0069443257045805,0.0277773025911756,0.2229484002520093,73.428470650317,8.36358682483451,1.0,0.0,0.0,0.0,0.0,0.0,10993.73242,;,49.99914474556135,42,42,1,
